no_of_adults,no_of_children,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,avg_price_per_room,booking_status
2,0,Not Selected,0,Room_Type 1,289,2018,12,28,Online,70.55,1
2,0,Meal Plan 1,0,Room_Type 4,28,2017,10,19,Offline,75,0
1,0,Not Selected,0,Room_Type 1,80,2018,3,29,Online,72.25,0
2,0,Meal Plan 1,0,Room_Type 4,11,2017,10,9,Online,155,0
2,1,Meal Plan 1,0,Room_Type 1,162,2018,7,25,Online,121.5,1
2,0,Meal Plan 1,0,Room_Type 1,155,2018,6,28,Online,90.95,0
1,0,Meal Plan 1,0,Room_Type 1,82,2018,5,22,Online,109.65,0
3,0,Meal Plan 1,0,Room_Type 4,27,2018,4,15,Online,142.72,1
1,0,Meal Plan 1,0,Room_Type 1,13,2018,5,9,Offline,90,0
2,0,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,75,1
2,0,Meal Plan 1,0,Room_Type 1,11,2018,11,18,Online,111,1
2,0,Meal Plan 1,0,Room_Type 1,266,2018,10,30,Online,86.7,0
2,0,Meal Plan 1,0,Room_Type 1,39,2018,3,28,Online,117.9,0
1,0,Meal Plan 1,0,Room_Type 1,13,2018,6,1,Complementary,0,0
2,0,Not Selected,0,Room_Type 1,112,2018,5,4,Online,101.58,0
2,0,Not Selected,0,Room_Type 1,88,2018,4,8,Online,,0
2,0,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,,0
2,0,Meal Plan 1,0,Room_Type 4,73,2018,4,7,Online,,1
2,0,Meal Plan 1,0,Room_Type 1,80,2018,5,2,Online,,0
2,0,Meal Plan 1,0,Room_Type 4,130,2018,9,29,Online,,1
2,0,Not Selected,0,Room_Type 1,69,2018,4,4,Online,,0
2,0,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Online,,1
2,0,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,,0
1,0,Meal Plan 1,0,Room_Type 1,4,2018,11,1,Corporate,,0
2,0,Meal Plan 1,0,Room_Type 4,97,2018,5,24,Online,140.4,0
2,0,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,75,0
2,0,Not Selected,0,Room_Type 1,31,2018,4,14,Online,94.5,1
2,0,Not Selected,0,Room_Type 1,0,2018,6,5,Online,109,0
2,0,Meal Plan 1,0,Room_Type 1,62,2018,11,12,Online,105,0
2,0,Meal Plan 1,0,Room_Type 4,86,2018,4,17,Online,107.95,0
3,0,Meal Plan 1,0,Room_Type 7,3,2018,10,7,Online,215.6,0
2,0,Not Selected,0,Room_Type 1,197,2018,8,1,Online,85.5,0
2,0,Meal Plan 1,0,Room_Type 1,143,2018,7,12,Online,105.3,0
1,0,Meal Plan 2,0,Room_Type 1,23,2018,1,2,Online,1,0
2,0,Meal Plan 1,0,Room_Type 4,8,2018,6,15,Online,156,1
1,0,Meal Plan 1,0,Room_Type 1,13,2018,11,16,Online,73.15,0
2,0,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Online,110,1
2,1,Not Selected,0,Room_Type 1,11,2017,9,13,Online,87.4,0
2,0,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Online,120,1
2,0,Not Selected,0,Room_Type 1,185,2018,12,16,Online,79.2,1
2,0,Meal Plan 1,0,Room_Type 1,160,2018,6,30,Online,90.95,0
2,0,Meal Plan 1,0,Room_Type 1,104,2018,10,18,Online,91.48,0
2,1,Meal Plan 1,0,Room_Type 1,11,2018,11,5,Online,150,1
2,0,Not Selected,0,Room_Type 1,2,2018,3,22,Online,89,0
2,0,Not Selected,0,Room_Type 1,14,2018,8,17,Online,91.43,0
2,0,Meal Plan 1,0,Room_Type 1,22,2018,5,20,Offline,140,0
1,1,Not Selected,0,Room_Type 1,37,2017,10,24,Online,87.78,0
2,0,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Online,115,1
2,0,Meal Plan 1,0,Room_Type 1,11,2017,9,9,Online,80.85,0
2,0,Meal Plan 1,0,Room_Type 1,86,2018,3,31,Online,82.45,0
2,0,Not Selected,0,Room_Type 1,109,2018,10,11,Online,108,1
2,0,Meal Plan 1,0,Room_Type 4,72,2018,4,2,Online,96.3,0
2,0,Meal Plan 1,0,Room_Type 1,196,2018,8,22,Online,99.45,1
2,0,Meal Plan 1,0,Room_Type 4,56,2018,5,13,Online,140.4,0
2,0,Meal Plan 1,0,Room_Type 1,189,2018,8,8,Offline,72.25,0
2,0,Meal Plan 1,0,Room_Type 4,126,2018,8,15,Online,126,0
2,0,Meal Plan 1,0,Room_Type 1,303,2018,8,19,Online,78,1
1,0,Meal Plan 1,0,Room_Type 4,81,2018,11,6,Online,146.6,0
2,0,Meal Plan 1,0,Room_Type 1,54,2018,10,10,Online,118.8,1
1,0,Meal Plan 1,0,Room_Type 1,15,2018,10,6,Online,145,1
2,0,Meal Plan 1,0,Room_Type 1,86,2018,4,6,Online,84.58,1
2,0,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Online,130,1
2,0,Meal Plan 1,0,Room_Type 4,147,2018,8,3,Online,118.88,1
2,0,Meal Plan 1,0,Room_Type 1,92,2018,5,30,Offline,101.52,0
2,0,Meal Plan 1,0,Room_Type 1,87,2017,9,11,Corporate,100,1
2,0,Meal Plan 1,0,Room_Type 1,109,2018,3,20,Offline,58,0
2,0,Meal Plan 1,0,Room_Type 1,127,2018,3,23,Offline,61.5,0
2,0,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Online,107,1
2,0,Not Selected,0,Room_Type 1,156,2018,8,24,Online,87.3,0
2,0,Meal Plan 1,0,Room_Type 1,80,2017,7,16,Online,76.5,1
2,0,Not Selected,0,Room_Type 1,211,2018,12,16,Online,63.75,1
2,0,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Online,95,1
2,0,Meal Plan 1,0,Room_Type 1,58,2018,11,19,Offline,75,0
2,0,Meal Plan 1,0,Room_Type 1,433,2018,9,8,Online,70,1
2,0,Meal Plan 1,0,Room_Type 1,111,2018,5,2,Online,101.58,0
2,0,Meal Plan 1,0,Room_Type 1,34,2018,8,21,Offline,85,0
2,0,Meal Plan 1,0,Room_Type 1,17,2018,12,3,Online,98.39,0
1,0,Meal Plan 1,0,Room_Type 1,4,2018,2,27,Complementary,0,0
2,0,Meal Plan 1,0,Room_Type 1,6,2017,9,22,Online,106.07,0
2,0,Meal Plan 1,0,Room_Type 1,32,2018,7,18,Offline,105,0
2,0,Meal Plan 1,0,Room_Type 1,4,2017,9,22,Online,145,0
3,0,Meal Plan 1,0,Room_Type 1,195,2018,8,13,Online,106.03,1
2,0,Meal Plan 1,0,Room_Type 1,119,2018,8,13,Online,114.3,0
1,0,Not Selected,0,Room_Type 1,13,2018,12,5,Online,88,0
2,0,Meal Plan 1,0,Room_Type 1,59,2017,10,15,Online,89.25,0
2,1,Meal Plan 1,0,Room_Type 4,78,2018,3,20,Online,86.32,0
2,0,Meal Plan 1,0,Room_Type 1,335,2018,10,13,Offline,90,0
2,0,Meal Plan 1,0,Room_Type 1,103,2017,8,22,Online,55.96,0
1,0,Not Selected,0,Room_Type 1,0,2018,6,8,Online,109,0
2,0,Meal Plan 1,0,Room_Type 1,118,2018,3,1,Offline,86,0
2,0,Meal Plan 1,0,Room_Type 1,56,2018,9,5,Online,118.95,0
2,0,Meal Plan 1,0,Room_Type 1,107,2018,6,10,Offline,130,0
2,0,Not Selected,0,Room_Type 1,70,2018,4,14,Online,90.56,0
2,0,Meal Plan 1,0,Room_Type 1,76,2018,4,1,Online,87.3,0
2,2,Meal Plan 1,0,Room_Type 6,144,2018,5,27,Online,177.65,1
1,2,Meal Plan 1,0,Room_Type 6,4,2017,9,19,Online,200.75,0
2,1,Meal Plan 1,0,Room_Type 1,15,2018,3,18,Online,127,0
1,0,Meal Plan 1,0,Room_Type 1,32,2018,2,5,Online,72.9,1
3,0,Meal Plan 1,0,Room_Type 4,49,2018,5,7,Online,159.3,1
2,1,Meal Plan 1,0,Room_Type 1,77,2018,5,12,Online,135.15,0
1,0,Meal Plan 1,0,Room_Type 1,22,2018,10,28,Offline,90,0
2,0,Not Selected,0,Room_Type 1,0,2017,10,18,Online,114,0
2,1,Meal Plan 1,1,Room_Type 1,58,2018,6,21,Online,125.1,0
2,0,Not Selected,0,Room_Type 1,4,2017,8,14,Online,95.13,0
2,0,Meal Plan 1,0,Room_Type 5,117,2018,4,29,Online,105.84,1
2,0,Meal Plan 1,0,Room_Type 1,36,2018,12,26,Online,102,1
2,0,Not Selected,0,Room_Type 1,35,2018,12,2,Online,74.8,0
2,0,Not Selected,0,Room_Type 1,31,2018,4,24,Online,94.5,1
2,0,Not Selected,0,Room_Type 1,79,2018,6,16,Online,120.6,0
2,0,Meal Plan 1,0,Room_Type 1,1,2017,10,9,Online,139.33,0
2,0,Meal Plan 1,0,Room_Type 1,21,2017,9,3,Online,105,0
2,0,Not Selected,0,Room_Type 1,12,2018,9,14,Corporate,100,0
2,0,Meal Plan 1,0,Room_Type 1,33,2018,2,8,Online,80.3,0
1,0,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,100,0
2,0,Meal Plan 1,1,Room_Type 1,78,2018,3,24,Online,105.3,0
2,0,Meal Plan 1,0,Room_Type 4,18,2018,5,31,Online,112.8,1
2,0,Meal Plan 1,0,Room_Type 1,21,2018,8,15,Online,151,1
1,0,Meal Plan 1,0,Room_Type 1,0,2017,11,9,Online,91,0
3,0,Meal Plan 1,0,Room_Type 4,152,2018,8,13,Online,146.7,1
2,0,Meal Plan 1,0,Room_Type 1,43,2017,10,2,Offline,58.4,0
2,0,Not Selected,0,Room_Type 1,177,2018,7,26,Online,80.75,1
2,0,Not Selected,0,Room_Type 1,47,2018,5,21,Offline,76.5,0
3,0,Meal Plan 1,0,Room_Type 4,57,2018,9,7,Online,140.13,0
2,0,Not Selected,0,Room_Type 1,60,2017,11,15,Online,76,0
2,0,Meal Plan 1,0,Room_Type 1,0,2017,9,16,Online,200,0
2,0,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,101.5,1
2,0,Not Selected,0,Room_Type 1,71,2018,10,18,Online,108,0
3,0,Meal Plan 2,0,Room_Type 4,111,2018,7,23,Online,189,0
3,0,Meal Plan 1,0,Room_Type 4,1,2018,6,11,Online,166,0
2,0,Not Selected,0,Room_Type 1,4,2018,1,16,Online,67.5,0
2,0,Meal Plan 1,0,Room_Type 4,25,2017,9,14,Online,78.54,0
1,0,Meal Plan 1,0,Room_Type 1,209,2018,11,6,Online,152.1,1
1,0,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Online,115,1
2,0,Not Selected,0,Room_Type 1,53,2017,9,2,Online,66.53,0
1,0,Meal Plan 1,0,Room_Type 1,1,2017,8,12,Complementary,0,0
1,0,Meal Plan 1,0,Room_Type 1,4,2017,8,23,Complementary,0,0
2,0,Meal Plan 1,0,Room_Type 1,302,2018,12,29,Online,90.3,1
2,0,Meal Plan 1,0,Room_Type 1,122,2018,4,15,Offline,85,0
1,0,Meal Plan 1,0,Room_Type 1,16,2018,3,11,Corporate,75,0
2,0,Meal Plan 1,0,Room_Type 1,28,2018,8,28,Online,115.37,1
3,0,Meal Plan 1,0,Room_Type 4,57,2018,12,9,Online,126,0
2,0,Meal Plan 1,0,Room_Type 1,19,2018,6,12,Online,94.35,0
3,0,Meal Plan 1,0,Room_Type 4,109,2018,7,6,Online,118.46,0
1,0,Meal Plan 2,0,Room_Type 1,239,2018,6,15,Online,90.6,1
1,0,Meal Plan 1,0,Room_Type 1,33,2018,3,5,Online,82.9,0
2,0,Meal Plan 1,0,Room_Type 1,11,2017,8,18,Online,95.33,0
3,0,Meal Plan 1,0,Room_Type 4,40,2018,4,21,Online,135.64,0
3,0,Meal Plan 1,0,Room_Type 4,45,2018,6,18,Offline,122.4,0
2,0,Not Selected,0,Room_Type 1,41,2018,5,9,Online,116.1,1
2,0,Not Selected,0,Room_Type 1,167,2018,6,28,Online,62.18,1
2,0,Not Selected,0,Room_Type 1,62,2018,3,9,Online,63.75,1
1,0,Meal Plan 1,0,Room_Type 1,113,2018,9,7,Online,118.8,1
2,0,Not Selected,1,Room_Type 1,1,2018,8,10,Online,167,0
2,2,Meal Plan 1,0,Room_Type 6,84,2018,5,13,Online,187.85,0
0,2,Meal Plan 1,0,Room_Type 1,68,2018,4,24,Online,108.38,1
2,0,Meal Plan 1,0,Room_Type 2,9,2018,9,7,Complementary,0,0
3,0,Meal Plan 1,0,Room_Type 1,245,2018,10,28,Online,128.7,1
2,0,Meal Plan 1,0,Room_Type 1,80,2018,3,17,Online,80.33,0
2,0,Meal Plan 1,0,Room_Type 1,7,2018,8,22,Online,140,1
2,1,Meal Plan 1,0,Room_Type 1,128,2017,8,8,Online,76.5,0
2,0,Meal Plan 1,0,Room_Type 1,100,2018,5,1,Online,105.3,0
2,0,Meal Plan 1,0,Room_Type 1,118,2018,4,3,Online,87.3,1
1,0,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,110,1
1,0,Meal Plan 2,0,Room_Type 1,41,2017,9,4,Offline,83,0
2,0,Meal Plan 1,0,Room_Type 1,174,2018,8,13,Online,99.45,0
2,1,Meal Plan 2,0,Room_Type 1,27,2017,12,27,Offline,104.5,0
2,0,Meal Plan 1,0,Room_Type 1,2,2018,11,16,Online,92.54,0
1,0,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,95,0
1,0,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,130,1
2,0,Meal Plan 1,0,Room_Type 1,68,2018,1,2,Offline,63,0
2,0,Meal Plan 1,0,Room_Type 4,189,2018,10,28,Online,109.8,1
2,0,Meal Plan 1,0,Room_Type 1,10,2018,5,16,Online,103,0
3,0,Meal Plan 1,0,Room_Type 4,19,2018,2,20,Online,130,0
2,0,Meal Plan 1,0,Room_Type 1,61,2018,3,23,Online,117,1
2,0,Meal Plan 1,0,Room_Type 4,95,2017,12,29,Offline,60.5,0
2,0,Meal Plan 2,0,Room_Type 1,83,2017,9,30,Offline,112.2,0
2,0,Meal Plan 1,0,Room_Type 1,37,2018,8,1,Online,135.9,1
2,0,Meal Plan 1,0,Room_Type 1,19,2018,7,25,Online,151,1
2,2,Meal Plan 1,0,Room_Type 6,22,2018,9,16,Online,239,0
2,0,Meal Plan 1,0,Room_Type 1,22,2017,12,26,Online,59.09,0
2,0,Meal Plan 1,0,Room_Type 1,151,2018,7,9,Online,103.09,1
2,0,Meal Plan 1,0,Room_Type 1,26,2018,2,28,Offline,87,0
3,0,Meal Plan 1,0,Room_Type 4,27,2018,4,17,Online,137,1
2,0,Meal Plan 2,0,Room_Type 1,79,2018,6,24,Offline,109,0
2,0,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Online,115,1
2,0,Meal Plan 1,0,Room_Type 4,189,2018,7,17,Online,,0
3,0,Meal Plan 1,0,Room_Type 4,27,2018,2,22,Online,,0
1,0,Meal Plan 1,0,Room_Type 1,51,2018,5,22,Corporate,,0
2,0,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,,1
2,1,Meal Plan 1,0,Room_Type 1,52,2018,7,8,Online,,1
1,0,Meal Plan 1,0,Room_Type 1,13,2017,10,18,Online,120,0
2,0,Not Selected,0,Room_Type 1,46,2018,11,11,Online,79.2,1
3,0,Meal Plan 1,0,Room_Type 4,84,2018,8,28,Online,159.3,1
2,0,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,90,0
2,0,Meal Plan 1,0,Room_Type 4,67,2018,5,27,Online,140.4,0
2,0,Meal Plan 1,0,Room_Type 1,0,2017,8,11,Online,75,0
2,0,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Online,109,1
2,0,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Online,94.5,1
1,0,Meal Plan 1,0,Room_Type 1,0,2017,12,15,Corporate,75,0
2,0,Meal Plan 1,0,Room_Type 4,32,2017,10,23,Offline,75,0
2,0,Meal Plan 1,0,Room_Type 1,282,2017,10,10,Offline,76.67,0
2,0,Meal Plan 1,0,Room_Type 1,38,2018,10,2,Online,126,0
2,0,Not Selected,0,Room_Type 1,175,2018,7,23,Online,85.5,0
2,0,Meal Plan 1,0,Room_Type 4,143,2018,8,18,Online,140.7,1
2,0,Meal Plan 1,0,Room_Type 4,127,2018,6,26,Online,103.7,0
1,0,Meal Plan 1,0,Room_Type 1,0,2017,9,8,Online,142,0
2,1,Meal Plan 1,0,Room_Type 1,95,2018,12,21,Online,103.7,0
1,0,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,110,0
2,0,Meal Plan 1,0,Room_Type 1,45,2018,11,10,Offline,75,0
3,0,Meal Plan 1,0,Room_Type 4,69,2018,7,25,Online,137.7,0
2,0,Not Selected,0,Room_Type 1,57,2018,9,7,Online,87.3,0
1,0,Meal Plan 1,0,Room_Type 1,5,2018,8,24,Complementary,0,0
2,0,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,101.5,0
2,0,Meal Plan 1,0,Room_Type 1,0,2018,2,24,Online,97,0
